query SELECT * FROM [histr],,,,,,,,,,,,,
sort,,,,,,,,,,,,,
columns,text Body,text Name of Body,text Date,text Transaction number,Amount,text Supplier name,text Supplier ID,text VAT reg no,text Expense area,text Expense code,text Expense type,text Costcuk,text Creditor type
,Body,Name of Body,Date,Transaction number,Amount,Supplier name,Supplier ID,VAT reg no,Expense area,Expense code,Expense type,Costcuk,Creditor type
INSERTED DETAIL,18,Devon County Council,07/04/2026,22085981,"244,935.08",ACORN CARE & EDUCATION LIMITED,333557,902188441,Dedicated Schools Grant,A61052,Independent Special School Fees,R0089003,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,07/04/2026,22086068,"7,624.50",EAST DEVON DISTRICT COUN (S O ACCOUNT),8710,142218990,Transformation & Business Services,A23005,Rates,R0333026,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,07/04/2026,22086210,510.00,THE COLOUR WORKS INTERNATIONAL LIMITED,394321,825444822,People and Culture,A16015,Staff Training Expenses - Non Payroll,R0303002,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,07/04/2026,22086274,"15,086.49",SWARCO UK & IRELAND LIMITED,13690,568335022,Capital - Highways,C02009,Works,C0671005,DCC CIS Suppliers
INSERTED DETAIL,18,Devon County Council,07/04/2026,22086526,"3,897.13",RED ELEPHANT GROUP LIMITED,322497,305375125,Transformation & Business Services,A44095,Employee Security Checks,R0333026,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,02/04/2026,22063036,"13,600.00",WESTBANK COMMUNITY HEALTH & CARE,65217,277497150,P-Ledger - Separate Legal Entity,A62110,Payments to Charities & Vol Providers,P0391004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,02/04/2026,22077607,"3,627.30",NORSE SOUTH WEST LIMITED,279741,785421021,Transformation & Business Services,A46100,Main / Term Contractor,R0334004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,02/04/2026,22079413,"4,000.25",TALIESIN EDUCATION LIMITED,388252,,Dedicated Schools Grant,A61052,Independent Special School Fees,R0089003,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,02/04/2026,22080379,504.00,FAMILY COMPASS,348346,392295664,Children's Social Care,A61060,Support for Children in Care,R0106002,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,02/04/2026,22081126,"7,000.00",WESTBANK COMMUNITY HEALTH & CARE,65217,277497150,Commissioning,A62110,Payments to Charities & Vol Providers,R0217030,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,02/04/2026,22081414,845.25,FAMILY COMPASS,348346,392295664,P-Ledger - Separate Legal Entity,A61060,Support for Children in Care,P0432008,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,02/04/2026,22081456,"54,313.82",SWARCO UK & IRELAND LIMITED,13690,568335022,Capital - Highways,C02009,Works,C0671005,DCC CIS Suppliers
INSERTED DETAIL,18,Devon County Council,02/04/2026,22081516,"29,253.00",ROYAL DEVON UNIVERSITY HEALTHCAR,21280,654938887,Public Health,A53005,Payments to Health Authorities,R0316084,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,02/04/2026,22081700,"2,819.74",DODDS SOLICITORS LLP,394172,729928286,"Chief Exec, Legal & Democratic services",A44968,Legal & Conveyancing Charges,R0276001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,02/04/2026,22081723,"1,451.41",QUALITY MARKING SERVICES LIMITED,86608,777323994,"Capital - Planning, Transportation and Environment",C02009,Works,C0671011,DCC CIS Suppliers
INSERTED DETAIL,18,Devon County Council,02/04/2026,22081902,814.04,SUEZ T/A DEVON CONTRACT WASTE LTD,34738,444085847,Transformation & Business Services,A27015,Refuse Collection,R0333026,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
